Especie;FechaAnillamiento;Cod_Localidad;Localidad;Municipio;Provincia;LatitudGrados;LatitudMinutos;CuadranteLatitud;LongitudGrados;LongitudMinutos;CuadranteLongitud;CentroR;AnillaR;InfoAnillaR;AmpliacionAnillaR;Verificacion;EspecieR;SexoR;EdadR;FechaRecuperacion;Cod_LocalidadR;LocalidadR;MunicipioR;ProvinciaR;LatitudGradosR;LatitudMinutosR;CuadranteLatitudR;LongitudGradosR;LongitudMinutosR;CuadranteLongitudR;
1340;11/6/03;DEBK233;UBSTADT-WEIHER;UBSTADT-WEIHER;NORDBADEN (KARLSRUHE);49;9;N;8;37;E;DER;A...2779;4;        ;0;1340;U;0;16/9/15;ES61170;LA CAMPI„A CORDOBESA;CORDOBA;CORDOBA;37;51;N;4;42;W;
1340;17/10/13;ES5359;ARGANDA DEL REY;ARGANDA DEL REY;MADRID;40;17;N;3;26;W;ESI;.9066098;4;        ;0;1340;U;0;1/12/14;NL04145;LANGERAK;LANGERAK;DRENTHE;52;42;N;6;36;E;
4330;29/7/11;SF--339;POHJOIS KARJALAN LAANI;JOENSUU;FINLANDIA;62;34;N;29;53;E;SFH;M..61080;4;        ;0;4330;U;0;20/2/14;ES26891;AGUARES;PINA DE EBRO;ZARAGOZA;41;30;N;0;23;W;
4330;4/7/13;SF80155;URJALA;URJALA;HAME (TAVASTEHUS);61;5;N;23;29;E;SFH;M..22932;4;        ;0;4330;U;0;25/2/14;ES26126;GALLOCANTA;GALLOCANTA;ZARAGOZA;40;59;N;1;31;W;
4330;21/7/11;SF81114;KIURUVESI;KIURUVESI;KUOPIO;63;43;N;26;21;E;SFH;M..60012;4;        ;0;4330;U;0;25/12/13;ES26334;ZARAGOZA;ZARAGOZA;ZARAGOZA;41;38;N;0;52;W;
4330;21/7/11;SF81114;KIURUVESI;KIURUVESI;KUOPIO;63;43;N;26;21;E;SFH;M..60012;4;        ;0;4330;U;0;29/11/13;ES26334;ZARAGOZA;ZARAGOZA;ZARAGOZA;41;38;N;0;52;W;
4330;21/7/11;SF81114;KIURUVESI;KIURUVESI;KUOPIO;63;43;N;26;21;E;SFH;M..60012;4;        ;0;4330;U;0;14/11/13;ES26334;ZARAGOZA;ZARAGOZA;ZARAGOZA;41;38;N;0;52;W;
4330;21/7/11;SF81114;KIURUVESI;KIURUVESI;KUOPIO;63;43;N;26;21;E;SFH;M..60012;4;        ;0;4330;U;0;12/12/12;ES51728;CACERES;CACERES;CACERES;39;28;N;6;22;W;
4330;21/7/11;SF81114;KIURUVESI;KIURUVESI;KUOPIO;63;43;N;26;21;E;SFH;M..60012;4;        ;0;4330;U;0;10/11/12;ES26334;ZARAGOZA;ZARAGOZA;ZARAGOZA;41;38;N;0;52;W;
4330;11/7/11;SF88101;VAASA;VAASA;VAASA (VASA);63;36;N;21;36;E;SFH;M..58336;4;        ;0;4330;U;0;4/4/13;DE6096;MECKLENBURG-VORP;MECKLENBURG;MECKLENBURG-VORPOMMERN;53;38;N;13;45;E;
4330;11/7/11;SF88101;VAASA;VAASA;VAASA (VASA);63;36;N;21;36;E;SFH;M..58336;4;        ;0;4330;U;0;19/11/12;DE--267;BRANDENBURG;BRANDENBURG;ALEMANIA;53;12;N;12;1;E;
4330;11/7/11;SF88101;VAASA;VAASA;VAASA (VASA);63;36;N;21;36;E;SFH;M..58336;4;        ;0;4330;U;0;12/11/12;FR2066;AUBE;AUBE;AUBE;48;32;N;4;35;E;
4330;11/7/11;SF88101;VAASA;VAASA;VAASA (VASA);63;36;N;21;36;E;SFH;M..58336;4;        ;0;4330;U;0;8/10/12;DEGL112;FREIBURG;NIEDERSACHSEN;LUNEBURG (EXCEP. ISLAS);52;44;N;8;21;E;
4330;11/7/11;SF88101;VAASA;VAASA;VAASA (VASA);63;36;N;21;36;E;SFH;M..58336;4;        ;0;4330;U;0;3/10/12;DEGL112;FREIBURG;NIEDERSACHSEN;LUNEBURG (EXCEP. ISLAS);52;44;N;8;21;E;
4330;21/7/11;SF81114;KIURUVESI;KIURUVESI;KUOPIO;63;43;N;26;21;E;SFH;M..60012;4;        ;0;4330;U;0;25/2/14;ES26334;ZARAGOZA;ZARAGOZA;ZARAGOZA;41;38;N;0;52;W;
1340;4/6/12;DEED52;DARMSTADT;DARMSTADT;DARMSTADT;49;54;N;8;51;E;DER;0X...528;4;        ;0;1340;U;2;21/8/13;ES30586;VIC;VIC;BARCELONA;41;55;N;2;15;E;
4330;1/8/02;SF86185;AETSA;AETSA;TURKU-PORI (ABO-BJORNEBOR;61;23;N;22;38;E;SFH;M..44759;4;        ;0;1340;U;4;22/12/12;ES50540;SANTA AMALIA;SANTA AMALIA;BADAJOZ;39;1;N;6;2;W;
4330;18/7/08;SF86316;VAMPULA;VAMPULA;TURKU-PORI (ABO-BJORNEBOR;61;2;N;22;45;E;SFH;M..21697;4;        ;0;4330;U;4;3/2/13;ES501030;RETAMAL DE LLERENA;RETAMAL DE LLERENA;BADAJOZ;38;35;N;5;51;W;
4330;5/7/11;SF88101;VAASA;VAASA;VAASA (VASA);63;36;N;21;36;E;SFH;M..58330;4;        ;0;4330;U;0;21/2/14;ES26126;GALLOCANTA;GALLOCANTA;ZARAGOZA;40;59;N;1;31;W;
4330;11/7/11;SF88101;VAASA;VAASA;VAASA (VASA);63;36;N;21;36;E;SFH;M..58336;4;        ;0;4330;U;0;28/2/14;ES26169;LAS CUERLAS;LAS CUERLAS;ZARAGOZA;40;57;N;1;33;W;
4330;21/7/11;SF81114;KIURUVESI;KIURUVESI;KUOPIO;63;43;N;26;21;E;SFH;M..60012;4;        ;0;4330;U;0;28/2/14;ES2553;FUENTES CLARAS;FUENTES CLARAS;TERUEL;40;51;N;1;19;W;
4330;11/7/11;SF88101;VAASA;VAASA;VAASA (VASA);63;36;N;21;36;E;SFH;M..58336;4;        ;0;4330;U;0;25/9/12;DE6B129;BRANDENBURG;BRANDENBURG;BRANDENBURG;52;46;N;12;42;E;
4330;11/7/11;SF88101;VAASA;VAASA;VAASA (VASA);63;36;N;21;36;E;SFH;M..58336;4;        ;0;4330;U;0;5/6/12;PL--86;POMORSKIE;POMORSKIE;POLONIA;54;44;N;17;52;E;
4330;11/7/11;SF88101;VAASA;VAASA;VAASA (VASA);63;36;N;21;36;E;SFH;M..58336;4;        ;0;4330;U;0;1/11/11;DEGL112;FREIBURG;NIEDERSACHSEN;LUNEBURG (EXCEP. ISLAS);52;44;N;8;21;E;
4330;21/7/11;SF81114;KIURUVESI;KIURUVESI;KUOPIO;63;43;N;26;21;E;SFH;M..60012;4;        ;0;4330;U;0;14/2/12;ES25121;TERUEL;TERUEL;TERUEL;40;21;N;1;7;W;
4330;21/7/11;SF81114;KIURUVESI;KIURUVESI;KUOPIO;63;43;N;26;21;E;SFH;M..60012;4;        ;0;4330;U;0;12/2/12;ES26334;ZARAGOZA;ZARAGOZA;ZARAGOZA;41;38;N;0;52;W;
4330;21/7/11;SF81114;KIURUVESI;KIURUVESI;KUOPIO;63;43;N;26;21;E;SFH;M..60012;4;        ;0;4330;U;0;21/1/12;ES25121;TERUEL;TERUEL;TERUEL;40;21;N;1;7;W;
4330;21/7/11;SF81114;KIURUVESI;KIURUVESI;KUOPIO;63;43;N;26;21;E;SFH;M..60012;4;        ;0;4330;U;0;12/1/12;ES25121;TERUEL;TERUEL;TERUEL;40;21;N;1;7;W;
4330;11/7/11;SF88101;VAASA;VAASA;VAASA (VASA);63;36;N;21;36;E;SFH;M..58336;4;        ;0;4330;U;0;17/4/13;DE--268;VASTERBOTTEN;SVERIGE;ALEMANIA;64;1;N;20;50;E;
1340;25/5/01;DEED193;SCHIERSTEIN;SCHIERSTEIN;DARMSTADT;50;3;N;8;12;E;DER;A....709;4;        ;0;1340;U;2;7/9/12;ES444284;PLANTA DE COMPOSTAJE DE FERVASA;CUART DE POBLET;VALENCIA;39;27;N;0;31;W;
1340;7/6/11;HESG27;KALTBRUNNERRIED;KALTBRUNNERRIED;ST. GALLEN;47;12;N;8;59;E;HES;SG...686;4;        ;0;1340;U;4;6/3/13;ES52606;PLANTA DE RESIDUOS URBANOS;ALCAZAR DE SAN JUAN;CIUDAD REAL;39;17;N;3;14;W;
1340;24/6/08;HEFR2;DOMDIDIEG;DOMDIDIEG;VAUD;46;52;N;7;2;E;HES;SE...585;4;        ;0;1340;U;4;25/10/13;ES52606;PLANTA DE RESIDUOS URBANOS;ALCAZAR DE SAN JUAN;CIUDAD REAL;39;17;N;3;14;W;
1340;12/6/09;HEZH2;AEROPUERTO DE ZURICH-KLOTEN;ZURICH;ZURICH;47;23;N;8;33;E;HES;SE...954;4;        ;0;1340;U;4;25/10/13;ES52606;PLANTA DE RESIDUOS URBANOS;ALCAZAR DE SAN JUAN;CIUDAD REAL;39;17;N;3;14;W;
1340;6/6/12;HESO101;SELZACH;SCHWEIZ;SOLOTHURN;47;11;N;7;26;E;HES;SG...905;4;        ;0;1340;U;4;24/12/13;ES52606;PLANTA DE RESIDUOS URBANOS;ALCAZAR DE SAN JUAN;CIUDAD REAL;39;17;N;3;14;W;
